"date","symbol","volume"
"2024-02-20","APLI.JK","47100"
"2024-02-20","TEBE.JK","148200"
"2024-02-19","TIRT.JK","0"
"2024-02-20","TMPO.JK","1800"
"2024-02-20","TNCA.JK","36579100"
"2024-02-20","BUKK.JK","9000"
"2024-02-20","TRIS.JK","59400"
"2024-02-20","DPNS.JK","500"
"2024-02-20","GTSI.JK","2741400"
"2024-02-20","HADE.JK","273900"
"2024-02-20","NANO.JK","1106100"
"2024-02-19","KBRI.JK","0"
"2024-02-20","LMAX.JK","41662500"
"2024-02-20","DCII.JK","200"
"2024-02-20","BAJA.JK","136200"
"2024-02-20","HILL.JK","1135800"
"2024-02-20","RAFI.JK","1313100"
"2024-02-20","MAHA.JK","3148500"
"2024-02-20","SMDM.JK","84900"
"2024-02-19","MAMI.JK","0"
"2024-02-20","INTD.JK","2800"
"2024-02-20","TIRA.JK","15000"
"2024-02-20","UNVR.JK","25789800"
"2024-02-20","VTNY.JK","10569100"
"2024-02-20","WAPO.JK","78200"
"2024-02-20","WINS.JK","3023500"
"2024-02-20","HITS.JK","4310200"
"2024-02-20","WMPP.JK","200"
"2024-02-20","WMUU.JK","40800"
"2024-02-19","JKSW.JK","0"
"2024-02-20","GOTO.JK","1983019100"
"2024-02-20","CTTH.JK","570900"
"2024-02-19","ZINC.JK","0"
"2024-02-20","TOTL.JK","3780100"
"2024-02-20","ASLC.JK","3248100"
"2024-02-20","HRTA.JK","2105500"
"2024-02-20","HOKI.JK","70291200"
"2024-02-19","KMTR.JK","0"
"2024-02-20","IMPC.JK","21075100"
"2024-02-20","JIHD.JK","100"
"2024-02-20","GMFI.JK","1053700"
"2024-02-20","RGAS.JK","30948700"
"2024-02-20","IDPR.JK","16100"
"2024-02-20","MAPB.JK","1100"
"2024-02-20","TBMS.JK","51500"
"2024-02-20","MARK.JK","57727600"
"2024-02-20","MBMA.JK","81762200"
"2024-02-20","MDKA.JK","69511700"
"2024-02-20","CMNT.JK","55475900"
"2024-02-20","NICL.JK","10481500"
"2024-02-19","NIPS.JK","0"
"2024-02-20","CMRY.JK","1474600"
"2024-02-19","SIMA.JK","0"
"2024-02-20","INKP.JK","7612100"
"2024-02-20","KOTA.JK","30500"
"2024-02-20","TBIG.JK","2598100"
"2024-02-20","ASHA.JK","15300"
"2024-02-20","MKNT.JK","2612600"
"2024-02-20","MPRO.JK","600"
"2024-02-20","MTSM.JK","134100"
"2024-02-19","TECH.JK","0"
"2024-02-20","AVIA.JK","42595000"
"2024-02-20","TCPI.JK","9525400"
"2024-02-20","MTWI.JK","2282500"
"2024-02-20","NICK.JK","5400"
"2024-02-20","ARTA.JK","26300"
"2024-02-20","BACA.JK","1022400"
"2024-02-20","BALI.JK","67500"
